finding_id,pos,cve,target,plugin_name,state,severity,exploit_available,cvss3_base_score,cvss_base_score,wiz_severity,description,location_path,wiz_first_found,wiz_last_found,wiz_last_fixed,resource_type,issue_id,comments_summary,ticket_key,port,signature_id,current_incident_uuid,exposure_url,results,wiz_component,wiz_technology,wiz_weighted_severity,exploitable,epssScore,riskRating,leanix_internet_exposed,SLA,cvssScore,Tier,first_found,last_found,last_fixed
91403f84-fcc2-5da4-aa6a-98ac59838207,,CVE-2024-38821,cny-prod-backend-server,,Open,,False,,,CRITICAL,"The library `org.springframework.security:spring-security-web` version `5.7.12` was detected in `Maven library manager` located at `/home/ecp-app/CNY/app.jar -> BOOT-INF/lib/spring-security-web-5.7.12.jar` and is vulnerable to `CVE-2024-38821`, which exists in versions `< 5.7.13`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-c4q5-6c82-3qpw) with vendor severity: `Critical` (awaiting NVD analysis, [CNA](https://nvd.nist.gov/vuln/detail/CVE-2024-38821) severity: `Critical`).

This vulnerability has a known exploit available. Sources: [Github](https://github.com/mouadk/cve-2024-38821/tree/main), [VulnCheck](https://www.deep-kondah.com/spring-webflux-static-resource-access-vulnerability-cve-2024-38821-explained/).

The vulnerability can be remediated by updating the library to version `5.7.13` or higher, using `mvn versions:use-latest-releases -Dincludes=org.springframework.security:spring-security-web`.",/home/ecp-app/CNY/app.jar -> BOOT-INF/lib/spring-security-web-5.7.12.jar,2026-02-02 17:16:20.550636,2026-02-18 07:47:18,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,org.springframework.security:spring-security-web,JAVA,,False,0.18600000000000003,High,True,30,9.1,Tier 1,2026-02-02 17:16:20.550636,2026-02-18 07:47:18,2026-02-18 07:47:18
2047ad15-f4eb-54eb-9cf5-1a6fd2a189d6,,CVE-2024-38819,cny-prod-backend-server,,Open,,False,,,HIGH,"The library `org.springframework:spring-webmvc` version `5.3.34` was detected in `Maven library manager` located at `/home/ecp-app/CNY/app.jar -> BOOT-INF/lib/spring-webmvc-5.3.34.jar` and is vulnerable to `CVE-2024-38819`, which exists in versions `<= 5.3.39`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-g5vr-rgqm-vf78) with vendor severity: `High` (awaiting NVD analysis, [CNA](https://nvd.nist.gov/vuln/detail/CVE-2024-38819) severity: `High`).

This vulnerability has a known exploit available. Sources: [VulnCheck](https://github.com/GhostS3c/CVE-2024-38819), [inTheWild](https://inthewild.io/vuln/CVE-2024-38819).

The vulnerability can be remediated by updating the library to version `6.1.14` or higher, using `mvn versions:use-latest-releases -Dincludes=org.springframework:spring-webmvc`.

The library is associated with the technology `Spring Web MVC`.",/home/ecp-app/CNY/app.jar -> BOOT-INF/lib/spring-webmvc-5.3.34.jar,2026-02-02 17:16:20.359581,2026-02-18 07:47:19,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,org.springframework:spring-webmvc,JAVA,,False,0.669,Medium,True,90,7.5,Tier 3,2026-02-02 17:16:20.359581,2026-02-18 07:47:19,2026-02-18 07:47:19
93e2f51c-ec69-5730-bff4-bcb64df41e78,,CVE-2025-59419,cny-prod-backend-server,,Open,,False,,,MEDIUM,"The library `io.netty:netty-codec-smtp` version `4.1.101.Final` was detected in `Maven library manager` located at `/home/ecp-app/CNY/adidas-cny.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar` and is vulnerable to `CVE-2025-59419`, which exists in versions `< 4.1.128.Final`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-jq43-27x9-3v86) with vendor severity: `High`.

This vulnerability has a known exploit available. Source: [VulnCheck](https://www.depthfirst.com/post/our-ai-agent-found-a-netty-zero-day-that-bypasses-email-authentication-the-story-of-cve-2025-59419).

The vulnerability can be remediated by updating the library to version `4.1.128.Final` or higher, using `mvn versions:use-latest-releases -Dincludes=io.netty:netty-codec-smtp`.",/home/ecp-app/CNY/adidas-cny.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar,2025-12-12 18:58:18.988484,2026-02-18 07:47:20,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,io.netty:netty-codec-smtp,JAVA,,False,0.044000000000000004,Low,True,365,5.5,Tier 3,2025-12-12 18:58:18.988484,2026-02-18 07:47:20,2026-02-18 07:47:20
6a99f7cf-128f-5a18-9d11-cf8b6ffbb558,,CVE-2025-59419,cny-prod-backend-server,,Open,,False,,,MEDIUM,"The library `io.netty:netty-codec-smtp` version `4.1.101.Final` was detected in `Maven library manager` located at `/home/ecp-app/CNY/adidas-cny.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar -> META-INF/maven/io.netty/netty-codec-smtp` and is vulnerable to `CVE-2025-59419`, which exists in versions `< 4.1.128.Final`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-jq43-27x9-3v86) with vendor severity: `High`.

This vulnerability has a known exploit available. Source: [VulnCheck](https://www.depthfirst.com/post/our-ai-agent-found-a-netty-zero-day-that-bypasses-email-authentication-the-story-of-cve-2025-59419).

The vulnerability can be remediated by updating the library to version `4.1.128.Final` or higher, using `mvn versions:use-latest-releases -Dincludes=io.netty:netty-codec-smtp`.",/home/ecp-app/CNY/adidas-cny.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar -> META-INF/maven/io.netty/netty-codec-smtp,2025-12-12 18:58:18.010012,2026-02-18 07:47:19,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,io.netty:netty-codec-smtp,JAVA,,False,0.044000000000000004,Low,True,365,5.5,Tier 3,2025-12-12 18:58:18.010012,2026-02-18 07:47:19,2026-02-18 07:47:19
31ffb676-c580-5aca-b2bd-00d0c8647f37,,CVE-2025-59419,cny-prod-backend-server,,Open,,False,,,MEDIUM,"The library `io.netty:netty-codec-smtp` version `4.1.101.Final` was detected in `Maven library manager` located at `/home/ecp-app/CNY/hzero-interface.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar` and is vulnerable to `CVE-2025-59419`, which exists in versions `< 4.1.128.Final`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-jq43-27x9-3v86) with vendor severity: `High`.

This vulnerability has a known exploit available. Source: [VulnCheck](https://www.depthfirst.com/post/our-ai-agent-found-a-netty-zero-day-that-bypasses-email-authentication-the-story-of-cve-2025-59419).

The vulnerability can be remediated by updating the library to version `4.1.128.Final` or higher, using `mvn versions:use-latest-releases -Dincludes=io.netty:netty-codec-smtp`.",/home/ecp-app/CNY/hzero-interface.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar,2025-12-12 18:58:14.042088,2026-02-18 07:47:20,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,io.netty:netty-codec-smtp,JAVA,,False,0.044000000000000004,Low,True,365,5.5,Tier 3,2025-12-12 18:58:14.042088,2026-02-18 07:47:20,2026-02-18 07:47:20
6228e062-fe7a-5d90-8046-bf5d9c6a8e67,,CVE-2025-59419,cny-prod-backend-server,,Open,,False,,,MEDIUM,"The library `io.netty:netty-codec-smtp` version `4.1.101.Final` was detected in `Maven library manager` located at `/home/ecp-app/CNY/hzero-interface.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar -> META-INF/maven/io.netty/netty-codec-smtp` and is vulnerable to `CVE-2025-59419`, which exists in versions `< 4.1.128.Final`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-jq43-27x9-3v86) with vendor severity: `High`.

This vulnerability has a known exploit available. Source: [VulnCheck](https://www.depthfirst.com/post/our-ai-agent-found-a-netty-zero-day-that-bypasses-email-authentication-the-story-of-cve-2025-59419).

The vulnerability can be remediated by updating the library to version `4.1.128.Final` or higher, using `mvn versions:use-latest-releases -Dincludes=io.netty:netty-codec-smtp`.",/home/ecp-app/CNY/hzero-interface.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar -> META-INF/maven/io.netty/netty-codec-smtp,2025-12-12 18:58:14.367047,2026-02-18 07:47:20,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,io.netty:netty-codec-smtp,JAVA,,False,0.044000000000000004,Low,True,365,5.5,Tier 3,2025-12-12 18:58:14.367047,2026-02-18 07:47:20,2026-02-18 07:47:20
e26d380b-4e1b-530f-8af7-aa20c2aabcb4,,CVE-2025-59419,cny-prod-backend-server,,Open,,False,,,MEDIUM,"The library `io.netty:netty-codec-smtp` version `4.1.101.Final` was detected in `Maven library manager` located at `/home/ecp-app/CNY/o2-basic-management.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar` and is vulnerable to `CVE-2025-59419`, which exists in versions `< 4.1.128.Final`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-jq43-27x9-3v86) with vendor severity: `High`.

This vulnerability has a known exploit available. Source: [VulnCheck](https://www.depthfirst.com/post/our-ai-agent-found-a-netty-zero-day-that-bypasses-email-authentication-the-story-of-cve-2025-59419).

The vulnerability can be remediated by updating the library to version `4.1.128.Final` or higher, using `mvn versions:use-latest-releases -Dincludes=io.netty:netty-codec-smtp`.",/home/ecp-app/CNY/o2-basic-management.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar,2025-12-12 18:58:14.783735,2026-02-18 07:47:20,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,io.netty:netty-codec-smtp,JAVA,,False,0.044000000000000004,Low,True,365,5.5,Tier 3,2025-12-12 18:58:14.783735,2026-02-18 07:47:20,2026-02-18 07:47:20
346d84af-7fd5-59ec-b264-967f209ac4fd,,CVE-2025-59419,cny-prod-backend-server,,Open,,False,,,MEDIUM,"The library `io.netty:netty-codec-smtp` version `4.1.101.Final` was detected in `Maven library manager` located at `/home/ecp-app/CNY/o2-basic-management.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar -> META-INF/maven/io.netty/netty-codec-smtp` and is vulnerable to `CVE-2025-59419`, which exists in versions `< 4.1.128.Final`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-jq43-27x9-3v86) with vendor severity: `High`.

This vulnerability has a known exploit available. Source: [VulnCheck](https://www.depthfirst.com/post/our-ai-agent-found-a-netty-zero-day-that-bypasses-email-authentication-the-story-of-cve-2025-59419).

The vulnerability can be remediated by updating the library to version `4.1.128.Final` or higher, using `mvn versions:use-latest-releases -Dincludes=io.netty:netty-codec-smtp`.",/home/ecp-app/CNY/o2-basic-management.jar -> BOOT-INF/lib/netty-codec-smtp-4.1.101.Final.jar -> META-INF/maven/io.netty/netty-codec-smtp,2025-12-12 18:58:16.173825,2026-02-18 07:47:19,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,io.netty:netty-codec-smtp,JAVA,,False,0.044000000000000004,Low,True,365,5.5,Tier 3,2025-12-12 18:58:16.173825,2026-02-18 07:47:19,2026-02-18 07:47:19
d6fc1c80-80f4-5958-9ae9-9cd1afe2ea35,,CVE-2024-38816,cny-prod-backend-server,,Open,,False,,,HIGH,"The library `org.springframework:spring-webmvc` version `5.3.34` was detected in `Maven library manager` located at `/home/ecp-app/CNY/app.jar -> BOOT-INF/lib/spring-webmvc-5.3.34.jar` and is vulnerable to `CVE-2024-38816`, which exists in versions `>= 5.3.0, <= 5.3.39`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-cx7f-g6mp-7hqm) with vendor severity: `High` (awaiting NVD analysis, [CNA](https://nvd.nist.gov/vuln/detail/CVE-2024-38816) severity: `High`).

This vulnerability has a known exploit available. Sources: [VulnCheck](https://api.vulncheck.com/v3/index/initial-access?cve=CVE-2024-38816), [VulnCheck KEV](https://cyble.com/blog/cyble-sensors-detect-attacks-on-java-framework-iot-devices/).

The vulnerability can be remediated by updating the library to version `6.1.13` or higher, using `mvn versions:use-latest-releases -Dincludes=org.springframework:spring-webmvc`.

The library is associated with the technology `Spring Web MVC`.",/home/ecp-app/CNY/app.jar -> BOOT-INF/lib/spring-webmvc-5.3.34.jar,2026-02-02 17:16:20.386154,2026-02-18 07:47:19,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,org.springframework:spring-webmvc,JAVA,,False,0.934,Medium,True,90,7.5,Tier 3,2026-02-02 17:16:20.386154,2026-02-18 07:47:19,2026-02-18 07:47:19
05c53f6f-4a17-5bd9-8709-9216b289473e,,CVE-2025-41232,cny-prod-backend-server,,Open,,False,,,CRITICAL,"The library `org.springframework.security:spring-security-core` version `6.4.2` was detected in `Maven library manager` located at `/home/ecp-app/CNY/hzero-license.jar -> BOOT-INF/lib/spring-security-core-6.4.2.jar` and is vulnerable to `CVE-2025-41232`, which exists in versions `>= 6.4.0, < 6.4.6`.

The vulnerability was found in the [Github Security Advisory](https://github.com/advisories/GHSA-9pp5-9c7g-4r83) with vendor severity: `Critical` (awaiting NVD analysis, [CNA](https://nvd.nist.gov/vuln/detail/CVE-2025-41232) severity: `Critical`).

This vulnerability has a known exploit available. Source: [VulnCheck](https://attackerkb.com/assessments/c3734c78-c018-4e5f-9c70-b5f3c074a411).

The vulnerability can be remediated by updating the library to version `6.4.6` or higher, using `mvn versions:use-latest-releases -Dincludes=org.springframework.security:spring-security-core`.

The library is associated with the technology `Spring Security`.",/home/ecp-app/CNY/hzero-license.jar -> BOOT-INF/lib/spring-security-core-6.4.2.jar,2026-02-02 17:16:21.874069,2026-02-18 07:47:19,,VIRTUAL_MACHINE,d034faf5-59ab-4e32-a5df-7698ab0828a1,,,,,,,,org.springframework.security:spring-security-core,JAVA,,False,0.001,High,True,30,9.1,Tier 1,2026-02-02 17:16:21.874069,2026-02-18 07:47:19,2026-02-18 07:47:19
